Week,Date,Theme,Section,Category,Platform,Problem ID,Problem Title,Folder,Problem Link
1,2026/02/24,"I/O, EOF, absolute difference",On-Site_Examinations,On-site Easy,UVa,100,The 3n + 1 Problem,On-Site_Examinations/Week1_01_UVa100,https://onlinejudge.org/external/1/100.pdf
1,2026/02/24,"I/O, EOF, absolute difference",On-Site_Examinations,On-site Medium,UVa,10035,Primary Arithmetic,On-Site_Examinations/Week1_02_UVa10035,https://onlinejudge.org/external/100/10035.pdf
1,2026/02/24,"I/O, EOF, absolute difference",After-Class_Practices,After Class Easy,LeetCode,9,Palindrome Number,After-Class_Practices/Week1_01_LeetCode9,https://leetcode.com/problems/palindrome-number/
1,2026/02/24,"I/O, EOF, absolute difference",After-Class_Practices,After Class Medium,LeetCode,8,String to Integer,After-Class_Practices/Week1_02_LeetCode8,https://leetcode.com/problems/string-to-integer-atoi/
2,2026/03/03,"Strings, formatting",On-Site_Examinations,On-site Easy,UVa,272,TEX Quotes,On-Site_Examinations/Week2_01_UVa272,https://onlinejudge.org/external/2/272.pdf
2,2026/03/03,"Strings, formatting",On-Site_Examinations,On-site Medium,UVa,490,Rotating Sentences,On-Site_Examinations/Week2_02_UVa490,https://onlinejudge.org/external/4/490.pdf
2,2026/03/03,"Strings, formatting",After-Class_Practices,After Class Easy,LeetCode,125,Valid Palindrome,After-Class_Practices/Week2_01_LeetCode125,https://leetcode.com/problems/valid-palindrome/
2,2026/03/03,"Strings, formatting",After-Class_Practices,After Class Medium,LeetCode,6,Zigzag Conversion,After-Class_Practices/Week2_02_LeetCode6,https://leetcode.com/problems/zigzag-conversion/
3,2026/03/10,Math + corner cases,Before-Class_Exercises,Before Class Easy,LeetCode,231,Power of Two,Before-Class_Exercises/Week3_01_LeetCode231,https://leetcode.com/problems/power-of-two/
3,2026/03/10,Math + corner cases,On-Site_Examinations,On-site Easy,UVa,10783,Odd Sum,On-Site_Examinations/Week3_01_UVa10783,https://onlinejudge.org/external/107/10783.pdf
3,2026/03/10,Math + corner cases,On-Site_Examinations,On-site Medium,UVa,10170,The Hotel with Infinite Rooms,On-Site_Examinations/Week3_02_UVa10170,https://onlinejudge.org/external/101/10170.pdf
3,2026/03/10,Math + corner cases,On-Site_Examinations,On-site Easy Bonus,UVa,12149,Feynman,On-Site_Examinations/Week3_03_EasyBonus_UVa12149,https://onlinejudge.org/external/121/12149.pdf
